model,variant,hemisphere,season,b
CMCC-CM2-SR5,div1_QG_123,s,FMA,-0.04657278523452627
CMCC-CM2-SR5,div1_QG_123,s,MAM,-0.04039294086182049
CMCC-CM2-SR5,div1_QG_123,s,AMJ,-0.03974724185266323
CMCC-CM2-SR5,div1_QG_123,s,MJJ,-0.02210072488411933
CMCC-CM2-SR5,div1_QG_123,s,JJA,-0.017362291090743557
CMCC-CM2-SR5,div1_QG_123,s,JAS,-0.010651481801671667
CMCC-CM2-SR5,div1_QG_123,s,ASO,-0.03350768419551882
CMCC-CM2-SR5,div1_QG_123,s,SON,-0.037277356340936096
CMCC-CM2-SR5,div1_QG_123,s,OND,-0.017992896510219014
CMCC-CM2-SR5,div1_QG_123,s,NDJ,-0.020857634945350517
CMCC-CM2-SR5,div1_QG_gt3,n,DJF,0.07970430020927333
CMCC-CM2-SR5,div1_QG_gt3,n,JFM,0.07394205141057938
CMCC-CM2-SR5,div1_QG_gt3,n,FMA,0.07901894166199348
CMCC-CM2-SR5,div1_QG_gt3,n,MAM,0.09993248046389902
CMCC-CM2-SR5,div1_QG_gt3,n,AMJ,0.14298287935803916
CMCC-CM2-SR5,div1_QG_gt3,n,MJJ,0.0867727393090232
CMCC-CM2-SR5,div1_QG_gt3,n,JJA,0.0631847600352703
CMCC-CM2-SR5,div1_QG_gt3,n,JAS,0.10842346593282985
CMCC-CM2-SR5,div1_QG_gt3,n,ASO,0.1280337588652489
CMCC-CM2-SR5,div1_QG_gt3,n,SON,0.05639336909704605
CMCC-CM2-SR5,div1_QG_gt3,n,OND,0.08135106304195872
CMCC-CM2-SR5,div1_QG_gt3,n,NDJ,0.07734867679053468
CMCC-CM2-SR5,div1_QG_gt3,s,DJF,0.06827162354485655
CMCC-CM2-SR5,div1_QG_gt3,s,JFM,0.05036466406335172
CMCC-CM2-SR5,div1_QG_gt3,s,FMA,0.059598813392770095
CMCC-CM2-SR5,div1_QG_gt3,s,MAM,0.10561406429244326
CMCC-CM2-SR5,div1_QG_gt3,s,AMJ,0.11926742168128215
CMCC-CM2-SR5,div1_QG_gt3,s,MJJ,0.11526090419119452
CMCC-CM2-SR5,div1_QG_gt3,s,JJA,0.10159194939763334
CMCC-CM2-SR5,div1_QG_gt3,s,JAS,0.09721283658928105
CMCC-CM2-SR5,div1_QG_gt3,s,ASO,0.12312100230906224
CMCC-CM2-SR5,div1_QG_gt3,s,SON,0.10844138163929913
CMCC-CM2-SR5,div1_QG_gt3,s,OND,0.1031523794811326
CMCC-CM2-SR5,div1_QG_gt3,s,NDJ,0.0834840204011442
CNRM-CM6-1-HR,div1_QG,n,DJF,0.1655508155864342
CNRM-CM6-1-HR,div1_QG,n,JFM,0.1499317723418008
CNRM-CM6-1-HR,div1_QG,n,FMA,0.12195269950574125
CNRM-CM6-1-HR,div1_QG,n,MAM,0.016888030653953594
CNRM-CM6-1-HR,div1_QG,n,AMJ,-0.46062556736460025
CNRM-CM6-1-HR,div1_QG,n,MJJ,-0.20504324307691113
CNRM-CM6-1-HR,div1_QG,n,JJA,-0.12865492579071705
CNRM-CM6-1-HR,div1_QG,n,JAS,-0.06559047620293856
CNRM-CM6-1-HR,div1_QG,n,ASO,0.07490127741952408
CNRM-CM6-1-HR,div1_QG,n,SON,0.04553103800165233
CNRM-CM6-1-HR,div1_QG,n,OND,0.15016622543862923
CNRM-CM6-1-HR,div1_QG,n,NDJ,0.163811433667471
CNRM-CM6-1-HR,div1_QG,s,DJF,0.044184216404670726
CNRM-CM6-1-HR,div1_QG,s,JFM,0.00981797720424976
CNRM-CM6-1-HR,div1_QG,s,FMA,-0.011787256640819203
CNRM-CM6-1-HR,div1_QG,s,MAM,-0.007351739804838215
